2026-09-24 03:44:13 | INFO | ✓ 47/9000 | Queue: 158 | ✅ https://www.mamypoko.com.tw/knowledge_01_11.php...
2026-09-24 03:44:14 | INFO | ✓ 48/9000 | Queue: 158 | ✅ https://www.mamypoko.com.tw/knowledge_01_09.php...
2026-09-24 03:44:16 | INFO | ✓ 49/9000 | Queue: 159 | ✅ https://www.mamypoko.com.tw/product_04_03_01.php...
2026-09-24 03:44:17 | INFO | ✓ 50/9000 | Queue: 163 | ✅ https://www.mamypoko.com.tw/knowledge_01_17.php...
2026-09-24 03:44:18 | INFO | ✓ 51/9000 | Queue: 168 | ✅ https://www.mamypoko.com.tw/knowledge_01_16.php...
2026-09-24 03:44:21 | INFO | ✓ 52/9000 | Queue: 154 | ✅ https://www.mamypoko.com.tw/line_login_brand.php?r...
2026-09-24 03:44:22 | INFO | ✓ 53/9000 | Queue: 165 | ✅ https://www.mamypoko.com.tw/product_01_06.php...
2026-09-24 03:44:23 | INFO | ✓ 54/9000 | Queue: 165 | ✅ https://www.mamypoko.com.tw/product_01_01.php...
2026-09-24 03:44:25 | INFO | ✓ 55/9000 | Queue: 165 | ✅ https://www.mamypoko.com.tw/product_03_05.php...
2026-09-24 03:44:26 | INFO | ✓ 56/9000 | Queue: 166 | ✅ https://www.mamypoko.com.tw/product_04_02.php...
2026-09-24 03:44:27 | INFO | ✓ 57/9000 | Queue: 166 | ✅ https://www.mamypoko.com.tw/product_05_02.php...
2026-09-24 03:44:28 | INFO | ✓ 58/9000 | Queue: 166 | ✅ https://www.mamypoko.com.tw/product_05_03.php...
2026-09-24 03:44:29 | INFO | ✓ 59/9000 | Queue: 166 | ✅ https://www.mamypoko.com.tw/product_07_01.php...
2026-09-24 03:44:31 | INFO | ✓ 60/9000 | Queue: 166 | ✅ https://www.mamypoko.com.tw/product_09_01.php...
2026-09-24 03:44:33 | INFO | ✓ 61/9000 | Queue: 165 | ✅ https://www.mamypoko.com.tw/line_login_brand.php?r...
2026-09-24 03:44:34 | INFO | ✓ 62/9000 | Queue: 166 | ✅ https://www.mamypoko.com.tw/knowledge_01_03.php...
2026-09-24 03:44:36 | INFO | ✓ 63/9000 | Queue: 167 | ✅ https://www.mamypoko.com.tw/product_10_02.php...
2026-09-24 03:44:37 | INFO | ✓ 64/9000 | Queue: 166 | ✅ https://www.mamypoko.com.tw/product_10_01.php...
2026-09-24 03:44:38 | INFO | ✓ 65/9000 | Queue: 165 | ⚠️ https://www.mamypoko.com.tw/product_10_00.php...
2026-09-24 03:44:40 | INFO | ✓ 66/9000 | Queue: 164 | ✅ https://www.mamypoko.com.tw/product_04_05.php...
2026-09-24 03:44:42 | INFO | ✓ 67/9000 | Queue: 163 | ✅ https://www.mamypoko.com.tw/line_login_brand.php?r...
2026-09-24 03:44:44 | INFO | ✓ 68/9000 | Queue: 156 | ✅ https://www.mamypoko.com.tw/line_login_brand.php?r...
2026-09-24 03:44:46 | INFO | ✓ 69/9000 | Queue: 150 | ✅ https://www.mamypoko.com.tw/line_login_brand.php?r...
